recipe_num,name,category,status,tier,idempotency_class,first_apply_ms,idempotent_apply_ms,blocker_ticket,blocker_description,last_qualified,qualified_by,score,grade,static_grade,runtime_grade,cor,idm,prf,saf,obs,doc,res,cmp,score_version
1,developer-workstation,infra,qualified,2+3,strong,7555,408,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
2,web-server,infra,qualified,2+3,strong,11521,971,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,95,97,100,85,61,65,2.0
3,postgresql-database,infra,qualified,2+3,strong,17630,364,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
4,monitoring-stack,infra,qualified,2+3,weak,9158,429,,,2026-03-01,cookbook-runner,87,B,B,A,95,80,100,100,100,85,61,65,2.0
5,redis-cache,infra,qualified,2+3,weak,9108,382,,,2026-03-01,cookbook-runner,87,B,B,A,95,80,100,100,100,85,61,65,2.0
6,ci-runner,infra,qualified,3,strong,8141,363,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,94,100,85,61,65,2.0
7,rocm-gpu,gpu,blocked,3,strong,,,FJ-1126,ROCm userspace not installed,,,36,C,C,pending,,,,97,70,75,61,55,2.0
8,nvidia-gpu,gpu,blocked,3,strong,,,FJ-1127,No NVIDIA hardware,,,37,C,C,pending,,,,97,70,85,61,55,2.0
9,secure-baseline,infra,qualified,2+3,strong,36834,355,,,2026-03-01,cookbook-runner,87,B,B,A,95,90,90,97,100,85,61,65,2.0
10,nfs-file-server,infra,blocked,3,strong,,,FJ-1128,NFS kernel modules not loaded,,,41,B,B,pending,,,,97,100,85,61,65,2.0
11,dev-shell,nix,qualified,1+2,strong,714,22,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
12,toolchain-pin,nix,qualified,1+2,strong,980,21,,,2026-03-01,cookbook-runner,89,B,B,A,95,90,100,100,100,85,61,65,2.0
13,build-sandbox,nix,qualified,1+2,strong,639,21,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
14,system-profile,nix,qualified,1+2,strong,1470,23,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
